"1","455-1564-1-ND","CONN HEADER SMD R/A 2POS 1.25MM","0.4171","No","Digi-Key"
"3","1276-1066-1-ND","Capacitor","0.09269","No","Digi-Key"
"3","1276-2953-1-ND","Capacitor","0.18538","No","Digi-Key"
"1","2223-UJC-HP-3-SMT-CT-ND","USBC connector","1.08","No","Digi-Key"
"2","CT3094CT-ND","SWITCH SLIDE DIP SPST 100MA 20V","0.64882","No","Digi-Key"
"2","DMG3414U-7DICT-ND","MOSFET N-CH 20V 4.2A SOT23","0.4449","No","Digi-Key"
"1","EG2476-ND","Switch ON/OFF","2.8","No","Digi-Key"
"1","RN4678-V/RM100-ND","Bluetooth Bluetooth v5.0 Transceiver Module 2.4GHz Integrated, Chip Surface Mount","12.44","No","Digi-Key"
"1","XC1429TR-ND","XTAL OSC XO 14.7456MHZ CMOS SMD","2.62","No","Digi-Key"
"3","455-1579-1-ND","CONN HEADER SMD 3POS 1.25MM","0.43564","No","Digi-Key"
"3","455-3625-ND","1.25mm JST female connector 3P","1.22","No","Digi-Key"
"4","478-5034-1-ND","Capacitor","0.16684","No","Digi-Key"
"12","36-5019CT-ND","Test Point, 1 Position SMD, RoHS, Tape and Reel","0.31514","No","Digi-Key"
